lat,lon,amenity,name,coordinates,city,cluster,is_chain
49.1761814,-123.1306688,restaurant,bullkingbbq,"49.1761814,-123.1306688",Richmond,3,False
49.1761102,-123.1309092,restaurant,gingerichinesecuisine,"49.1761102,-123.1309092",Richmond,3,False
49.175972,-123.1306582,restaurant,happylambhotpot,"49.175972,-123.1306582",Richmond,3,False
49.1764107,-123.1323338,restaurant,tokujapaneserestaurant,"49.1764107,-123.1323338",Richmond,3,False
49.2457299,-122.891401,restaurant,insadong,"49.2457299,-122.891401",Coquitlam,8,False
49.2462257,-122.8918439,restaurant,bestsushinkitchen,"49.2462257,-122.8918439",Coquitlam,8,False
49.2451974,-122.8921762,restaurant,wingstapandgrill,"49.2451974,-122.8921762",Coquitlam,8,False
49.2687365,-123.0457293,restaurant,fukuramen,"49.2687365,-123.0457293",Vancouver,37,False
49.2813057,-123.1079703,restaurant,miraisushi,"49.2813057,-123.1079703",Vancouver,0,False
49.168251,-122.6675528,restaurant,thebarleymerchant,"49.168251,-122.6675528",Township of Langley,21,False
49.2640395,-123.1801008,restaurant,greenleafsushi,"49.2640395,-123.1801008",Vancouver,35,False
49.2762369,-122.8445501,restaurant,namoosushi,"49.2762369,-122.8445501",Port Moody,17,False
49.2539596,-122.7388737,restaurant,swisschalet,"49.2539596,-122.7388737",Port Coquitlam,14,False
49.2578328,-122.745482,restaurant,orrangekitchen+bar,"49.2578328,-122.745482",Port Coquitlam,14,False
49.254477,-122.7379049,restaurant,pho51,"49.254477,-122.7379049",Port Coquitlam,14,False
49.2580763,-122.7458786,restaurant,photoanthang,"49.2580763,-122.7458786",Port Coquitlam,14,False
49.1437425,-122.7994953,restaurant,creeksidegrill,"49.1437425,-122.7994953",Surrey,31,False
49.3266192,-123.1380363,restaurant,trattoria,"49.3266192,-123.1380363",West Vancouver,30,False
49.1409171,-122.6009339,restaurant,thecafe,"49.1409171,-122.6009339",Township of Langley,21,False
49.1399686,-122.6001998,fast_food,thelowercafe,"49.1399686,-122.6001998",Township of Langley,21,False
49.1764733,-122.8896127,restaurant,mehfilindiarestaurant,"49.1764733,-122.8896127",Surrey,2,False
49.1497112,-122.8645797,restaurant,maharajasweetsandrestaurant,"49.1497112,-122.8645797",Surrey,2,False
49.1911509,-122.8066783,restaurant,sabaithairestaurant,"49.1911509,-122.8066783",Surrey,31,False
49.1863982,-122.8444496,restaurant,fresgoinn,"49.1863982,-122.8444496",Surrey,31,False
49.1876113,-122.8435939,restaurant,nahmthaibistro,"49.1876113,-122.8435939",Surrey,31,False
49.2254234,-123.0655278,restaurant,victoriarestaurant,"49.2254234,-123.0655278",Vancouver,26,False
49.1723013,-122.6674779,restaurant,forknchopstick,"49.1723013,-122.6674779",Township of Langley,21,False
49.28903,-123.1313276,restaurant,cinchgrillitalian,"49.28903,-123.1313276",Vancouver,0,False
49.2077342,-122.9309659,pub,thethirstyduck,"49.2077342,-122.9309659",New Westminster,6,False
49.1238349,-123.1858147,restaurant,thecrabkingrestaurant,"49.1238349,-123.1858147",Richmond,3,False
49.2290279,-122.9989508,cafe,mr.mustacheteaanddessert,"49.2290279,-122.9989508",Burnaby,36,False
49.2258678,-123.0661456,restaurant,onmaychineserestaurant,"49.2258678,-123.0661456",Vancouver,26,False
49.2318583,-123.0653897,restaurant,kimphungrestaurant,"49.2318583,-123.0653897",Vancouver,26,False
49.2320722,-123.065753,restaurant,mkchopchopbbqhouse,"49.2320722,-123.065753",Vancouver,26,False
49.2319986,-123.065745,restaurant,shunfanoodlehouse,"49.2319986,-123.065745",Vancouver,26,False
49.2335229,-123.0653161,restaurant,happysushi,"49.2335229,-123.0653161",Vancouver,26,False
49.2345972,-123.0656766,restaurant,phohue,"49.2345972,-123.0656766",Vancouver,26,False
49.2353536,-123.065652,restaurant,banhmisaigon,"49.2353536,-123.065652",Vancouver,26,False
49.2376464,-123.0655809,restaurant,lamaisondanang,"49.2376464,-123.0655809",Vancouver,26,False
49.2385647,-123.0655669,restaurant,bunchacahoangyen,"49.2385647,-123.0655669",Vancouver,26,False
49.2385372,-123.0651956,restaurant,chauveggieexpress,"49.2385372,-123.0651956",Vancouver,26,False
49.2386583,-123.0655595,restaurant,kozakukrayinianeatery,"49.2386583,-123.0655595",Vancouver,26,False
49.2429948,-123.0601948,restaurant,17degcdessertcafe,"49.2429948,-123.0601948",Vancouver,26,False
49.2430699,-123.0603612,restaurant,kingscafe,"49.2430699,-123.0603612",Vancouver,26,False
49.1807715,-123.1340777,restaurant,shianggardenseafoodrestaurant,"49.1807715,-123.1340777",Richmond,3,False
49.2809073,-123.0098236,restaurant,antonspastabar,"49.2809073,-123.0098236",Burnaby,24,False
49.0496845,-122.311872,fast_food,onosofjapan,"49.0496845,-122.311872",Abbotsford,7,False
49.2458146,-123.0900087,restaurant,masayoshi,"49.2458146,-123.0900087",Vancouver,34,False
49.2467148,-123.1010057,restaurant,meetonmain,"49.2467148,-123.1010057",Vancouver,34,False
49.2832439,-123.104844,restaurant,meetingastown,"49.2832439,-123.104844",Vancouver,0,False
49.2507803,-123.1011735,restaurant,thefishcounter,"49.2507803,-123.1011735",Vancouver,34,False
49.1698396,-122.889851,restaurant,thaibythai,"49.1698396,-122.889851",Surrey,2,False
49.1654474,-122.8898095,restaurant,krishnasdosagrill,"49.1654474,-122.8898095",Surrey,2,False
