,lat1,lat2,lon1,lon2
0,49.0012885,49.0102813057554,-123.4998587,-123.48615042695819
1,49.0012885,49.0102813057554,-123.48615042695819,-123.47244215391638
2,49.0012885,49.0102813057554,-123.47244215391638,-123.45873388087456
3,49.0012885,49.0102813057554,-123.45873388087456,-123.44502560783275
4,49.0012885,49.0102813057554,-123.44502560783275,-123.43131733479093
5,49.0012885,49.0102813057554,-123.43131733479093,-123.41760906174912
6,49.0012885,49.0102813057554,-123.41760906174912,-123.4039007887073
7,49.0012885,49.0102813057554,-123.4039007887073,-123.39019251566549
8,49.0012885,49.0102813057554,-123.39019251566549,-123.37648424262368
9,49.0012885,49.0102813057554,-123.37648424262368,-123.36277596958186
10,49.0012885,49.0102813057554,-123.36277596958186,-123.34906769654005
11,49.0012885,49.0102813057554,-123.34906769654005,-123.33535942349823
12,49.0012885,49.0102813057554,-123.33535942349823,-123.32165115045642
13,49.0012885,49.0102813057554,-123.32165115045642,-123.3079428774146
14,49.0012885,49.0102813057554,-123.3079428774146,-123.29423460437279
15,49.0012885,49.0102813057554,-123.29423460437279,-123.28052633133098
16,49.0012885,49.0102813057554,-123.28052633133098,-123.26681805828916
17,49.0012885,49.0102813057554,-123.26681805828916,-123.25310978524735
18,49.0012885,49.0102813057554,-123.25310978524735,-123.23940151220553
19,49.0012885,49.0102813057554,-123.23940151220553,-123.22569323916372
20,49.0012885,49.0102813057554,-123.22569323916372,-123.2119849661219
21,49.0012885,49.0102813057554,-123.2119849661219,-123.19827669308009
22,49.0012885,49.0102813057554,-123.19827669308009,-123.18456842003827
23,49.0012885,49.0102813057554,-123.18456842003827,-123.17086014699646
24,49.0012885,49.0102813057554,-123.17086014699646,-123.15715187395465
25,49.0012885,49.0102813057554,-123.15715187395465,-123.14344360091283
26,49.0012885,49.0102813057554,-123.14344360091283,-123.12973532787102
27,49.0012885,49.0102813057554,-123.12973532787102,-123.1160270548292
28,49.0012885,49.0102813057554,-123.1160270548292,-123.10231878178739
29,49.0012885,49.0102813057554,-123.10231878178739,-123.08861050874557
30,49.0012885,49.0102813057554,-123.08861050874557,-123.07490223570376
31,49.0012885,49.0102813057554,-123.07490223570376,-123.06119396266195
32,49.0012885,49.0102813057554,-123.06119396266195,-123.04748568962013
33,49.0012885,49.0102813057554,-123.04748568962013,-123.03377741657832
34,49.0012885,49.0102813057554,-123.03377741657832,-123.0200691435365
35,49.0012885,49.0102813057554,-123.0200691435365,-123.00636087049469
36,49.0012885,49.0102813057554,-123.00636087049469,-122.99265259745287
37,49.0012885,49.0102813057554,-122.99265259745287,-122.97894432441106
38,49.0012885,49.0102813057554,-122.97894432441106,-122.96523605136925
39,49.0012885,49.0102813057554,-122.96523605136925,-122.95152777832743
40,49.0012885,49.0102813057554,-122.95152777832743,-122.93781950528562
41,49.0012885,49.0102813057554,-122.93781950528562,-122.9241112322438
42,49.0012885,49.0102813057554,-122.9241112322438,-122.91040295920199
43,49.0012885,49.0102813057554,-122.91040295920199,-122.89669468616017
44,49.0012885,49.0102813057554,-122.89669468616017,-122.88298641311836
45,49.0012885,49.0102813057554,-122.88298641311836,-122.86927814007655
46,49.0012885,49.0102813057554,-122.86927814007655,-122.85556986703473
47,49.0012885,49.0102813057554,-122.85556986703473,-122.84186159399292
48,49.0012885,49.0102813057554,-122.84186159399292,-122.8281533209511
49,49.0012885,49.0102813057554,-122.8281533209511,-122.81444504790929
50,49.0012885,49.0102813057554,-122.81444504790929,-122.80073677486747
51,49.0012885,49.0102813057554,-122.80073677486747,-122.78702850182566
52,49.0012885,49.0102813057554,-122.78702850182566,-122.77332022878385
53,49.0012885,49.0102813057554,-122.77332022878385,-122.75961195574203
54,49.0012885,49.0102813057554,-122.75961195574203,-122.74590368270022
55,49.0012885,49.0102813057554,-122.74590368270022,-122.7321954096584
56,49.0012885,49.0102813057554,-122.7321954096584,-122.71848713661659
57,49.0012885,49.0102813057554,-122.71848713661659,-122.70477886357477
58,49.0012885,49.0102813057554,-122.70477886357477,-122.69107059053296
59,49.0012885,49.0102813057554,-122.69107059053296,-122.67736231749114
60,49.0012885,49.0102813057554,-122.67736231749114,-122.66365404444933
61,49.0012885,49.0102813057554,-122.66365404444933,-122.64994577140752
62,49.0012885,49.0102813057554,-122.64994577140752,-122.6362374983657
63,49.0012885,49.0102813057554,-122.6362374983657,-122.62252922532389
64,49.0012885,49.0102813057554,-122.62252922532389,-122.60882095228207
65,49.0012885,49.0102813057554,-122.60882095228207,-122.59511267924026
66,49.0012885,49.0102813057554,-122.59511267924026,-122.58140440619844
67,49.0012885,49.0102813057554,-122.58140440619844,-122.56769613315663
68,49.0012885,49.0102813057554,-122.56769613315663,-122.55398786011482
69,49.0012885,49.0102813057554,-122.55398786011482,-122.540279587073
70,49.0012885,49.0102813057554,-122.540279587073,-122.52657131403119
71,49.0012885,49.0102813057554,-122.52657131403119,-122.51286304098937
72,49.0012885,49.0102813057554,-122.51286304098937,-122.49915476794756
73,49.0012885,49.0102813057554,-122.49915476794756,-122.48544649490574
74,49.0012885,49.0102813057554,-122.48544649490574,-122.47173822186393
75,49.0012885,49.0102813057554,-122.47173822186393,-122.45802994882212
76,49.0012885,49.0102813057554,-122.45802994882212,-122.4443216757803
77,49.0012885,49.0102813057554,-122.4443216757803,-122.43061340273849
78,49.0012885,49.0102813057554,-122.43061340273849,-122.41690512969667
79,49.0012885,49.0102813057554,-122.41690512969667,-122.40319685665486
80,49.0012885,49.0102813057554,-122.40319685665486,-122.38948858361304
